
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06209319747466853
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06628534505734857
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06414903407224799
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06768656661478
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.1	 Result= 0.08404815437710625
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.15	 Result= 0.05930035260283965
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.2	 Result= 0.058902724787987575
 Activation Function= tanh	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06136848427809548
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06761857302117533
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06446897714812568
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06627961940903297
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06705765299096905
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.1	 Result= 0.059498530163288654
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.15	 Result= 0.061785383636819784
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06320104685457036
 Activation Function= tanh	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.25	 Result= 0.07244907002309631
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06524005942586539
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06664351533273648
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06465568539892685
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06760318438778037
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06261156547511149
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06125787712320842
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06251428350489745
 Activation Function= tanh	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.25	 Result= 0.062361893626204555
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06378347908278395
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06694528339491196
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06688011749770896
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.25	 Result= 0.07120197543363342
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06251075975354882
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06266381060969883
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06377792745541924
 Activation Function= tanh	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.25	 Result= 0.06229370948986552
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06359250474253902
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06430897517488159
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06549387251672478
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06795237872140786
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06308031398924008
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06368610463470503
 Activation Function= tanh	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06267454148526641
